Sample No. of KM+SC,Product Line,KM number,SC number (test code),SC number (mass pro.),SC Mooney,SC Gen,SC Box,ExtrusionFactory,Disso.,Sampling date,Measurment date,Aging after extrusion,Extruder m/c,Extrusion Screw size (mm),Pins (%),Extrusion SC  Exit Temp,Factory results,"State
(wind up)",BAZ Machine,BAZ for CACPRO,BAZ-BAZ Force,BAZ-BAZ Energy,CACPRO Force,Std_force,Measurement number N_force,Error bar_force,CACPRO Energy,Std_energy,Measurement number N_energy,Error bar_energy
MC62169,PCY4 RT,KM17661,SC93368,---,--,Gen1.0,3,SY2,N,4/16/2016,4/28/2016,12,4-plex#2,200,60%,,Not tested,Before,OTA,BM11120,,,26.68,3.49,3,4.03,59.61,4.41,3,5.09
MC62169,PCY4 RT,KM17661,SC93368,---,---,Gen1.0,3,SY2,N,4/20/2016,4/28/2016,8,4-plex#2,200,60%,,Not tested,After,OTA,BM11120,,,30.25,2.35,3,2.71,117.28,3.87,2,5.47
MC62220,PCY4 RT,KM17661,SC89117,SC17652,59,Gen1.5,3,SY2,N,5/25/2016,6/3/2016,9,4-plex#2,200,60%,,1,Before,OTA,BM11120,,,18.69,0.38,3,0.44,26.14,1.68,3,1.94
MC62169,PCY4 RT,KM17661,SC93368x05,---,---,Gen1.5,3,SWT,N,6/21/2016,7/11/2016,20,KM#3,150,54%,,1,Before,OTA,BM11120,,,27.55,0.62,3,0.71,71.5,6.53,6,5.33
MC62212,PCY4 OE,KM17654,SC93604x02,---,---,Gen1.5,1,SWT,N,6/21/2016,7/11/2016,20,KM#3,150,54%,,-1,Before,OTA,BM11120,,,14.38,1.2,3,1.39,12.27,1.28,6,1.05
MC62212,PCY4 OE,KM17654,"SC93604x02
process tune",SC17660,66,Gen1.5,1,SY2,N,8/9/2016,8/19/2016,10,4-plex#2,200,60%,,1,Before,OTA,BM11120,,,26.12,2.14,6,1.75,64.72,15.8,6,12.9
MC62212,PCY4 OE,KM17654,SC93604x02,SC17660,66,Gen1.5,1,SY2,N,8/16/2016,8/26/2016,10,4-plex#2,200,60%,,-1,Before,OTA,BM11120,,,19.88,2.01,6,1.64,20.65,2.5,6,2.04
MC62220,PCY4 RT,KM17661,SC89117,SC17652,59,Gen1.5,3,SY2,N,8/30/2016,9/7/2016,8,4-plex#2,200,60%,,1,Before,OTA,BM11120,,,20.12,2.71,6,2.21,34.27,5.67,6,4.63
MC62222,PCY4 RT,KM17661,SC89117,SC17652,59,Gen1.5,3,LMC,N,9/30/2016,10/7/2016,7,4-plex,150,56%,,1,Before,OTA,BM11120,,,22.8,1.5,6,1.22,57.95,10.75,6,8.78
MC62260,PCY4 OE,KM17654,SC93604x06,SC17660,62,Gen1.5,1,LMC,N,10/3/2016,10/17/2016,14,3-plex (Krupp),150,56%,,-1,Before,OTA,BM11120,,,18.6,0.55,8,0.39,22.18,2.11,8,1.49
